stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,wheelchair_boarding,transport_type
17822,17822,"ПР. НАУКИ,УГ. УЛ. КАРПИНСКОГО",60.007070,30.423750,0,2,bus
17823,17823,"УЛ. КАРПИНСКОГО,28",60.009880,30.426870,0,2,bus
17820,17820,"УЛ. КАРПИНСКОГО,28",60.009889,30.426641,0,2,bus
17818,17818,"СЕВЕРНЫЙ ПР.,91",60.016197,30.428516,0,2,bus
17819,17819,"УЛ. КАРПИНСКОГО,38",60.012414,30.429642,0,2,bus
17817,17817,"СЕВЕРНЫЙ ПР.,УГ. УЛ. СОФЬИ КОВАЛЕВСКОЙ",60.018946,30.417637,0,2,bus
17799,17799,"УЛ. МАРШАЛА ЗАХАРОВА,19",59.854229,30.191814,0,2,bus
17798,17798,УЛ. ДЕСАНТНИКОВ,59.852627,30.198865,0,2,bus
17797,17797,"ПОРТОВАЯ УЛ., УГ.ПР.СТАЧЕК",59.864007,30.259470,0,2,bus
17796,17796,"ЭЛЕВАТОРНАЯ ПЛ.,2",59.864578,30.233796,0,2,bus
17795,17795,ДОР. К РЫБНОМУ ПОРТУ,59.866409,30.208851,0,2,bus
17794,17794,УГОЛЬНАЯ ГАВАНЬ,59.869318,30.201652,0,2,bus
17793,17793,ДОР.К РЫБНОМУ ПОРТУ,59.866808,30.208282,0,2,bus
17792,17792,"ЭЛЕВАТОРНАЯ ПЛ.,2",59.864718,30.233635,0,2,bus
17803,17803,"УЛ. МАРШАЛА ЗАХАРОВА,19",59.853748,30.192270,0,2,bus
17802,17802,ПР. КУЗНЕЦОВА,59.855105,30.186310,0,2,bus
17801,17801,"УЛ. ДОБЛЕСТИ, УГ. УЛ. МАРШАЛА ЗАХАРОВА",59.857094,30.177523,0,2,bus
17800,17800,ПР. КУЗНЕЦОВА,59.855782,30.184894,0,2,bus
17847,17847,Б. МОНЕТНАЯ УЛ.,59.961944,30.315034,0,2,bus
17855,17855,"ПОС.ДРАНИШНИКИ,4 КМ",60.129238,30.257453,0,2,bus
17848,17848,ТРОИЦКАЯ ПЛ.,59.954097,30.322534,0,2,bus
17850,17850,"ЛИТЕЙНЫЙ ПР., УГ. КИРОЧНОЙ УЛ.",59.943964,30.349538,0,2,bus
17830,17830,"СЕВЕРНЫЙ ПР.,91",60.016612,30.428253,0,2,bus
17839,17839,"УЛ. СОФЬИ КОВАЛЕВСКОЙ,УГ. ПР. НАУКИ",60.010710,30.408053,0,2,bus
17838,17838,"УЛ. СОФЬИ КОВАЛЕВСКОЙ,7",60.014479,30.412501,0,2,bus
17834,17834,ВЯЗЕМСКИЙ ПЕР.,59.975828,30.299734,0,2,bus
17754,17754,"ПОС. ЮККИ,1",60.109424,30.276030,0,2,bus
17753,17753,"ПОС. ЮККИ,2 ( ВЫСАДКА)",60.110319,30.283221,0,2,bus
17752,17752,"ПОС. ЮККИ,1",60.109395,30.277301,0,2,bus
17757,17757,УЛ. ШИШКИНА,60.087180,30.261017,0,2,bus
17756,17756,"ПОС. ОСИНОВАЯ РОЩА,1",60.109800,30.253333,0,2,bus
17750,17750,"ПОС. ОСИНОВАЯ РОЩА,1",60.109442,30.252665,0,2,bus
17749,17749,УЛ.ШИШКИНА,60.087518,30.261162,0,2,bus
17730,17730,ЯХТЕННАЯ УЛ.,59.986916,30.215881,0,2,bus
17728,17728,БОЛЬНИЦА,59.992710,30.145122,0,2,bus
17790,17790,"ПОРТОВАЯ УЛ.,УГ.ПР.СТАЧЕК",59.864174,30.260135,0,2,bus
17689,17689,СЧАСТЛИВАЯ УЛ. УГ. БУЛЬВ.НОВАТОРОВ,59.845855,30.270263,0,2,bus
17725,17725,"Ж.-Д.СТ. ""ПОС.ЛИСИЙ НОС""",60.017097,30.010582,0,2,bus
17724,17724,"ПОС. ЛИСИЙ НОС,ВОЕННАЯ УЛ.",60.027928,29.998400,0,2,bus
17727,17727,"Ж.-Д. СТ.""ОЛЬГИНО""",59.994426,30.133739,0,2,bus
