trip_id,start_time,end_time,headway_secs,exact_times
9483595,10:00,16:00,12,0
9483624,10:00,16:00,12,0
9483424,10:00,16:00,12,0
9483438,10:00,16:00,12,0
9483452,10:00,16:00,12,0
9483481,10:00,16:00,12,0
9483645,10:00,16:00,12,0
9483509,10:00,16:00,12,0
9483567,10:00,16:00,12,0
9483468,10:00,16:00,12,0
9483538,10:00,16:00,12,0
9483459,06:00,10:00,14,0
9483487,06:00,10:00,14,0
9483516,06:00,10:00,14,0
9483545,06:00,10:00,14,0
9483574,06:00,10:00,14,0
9483589,06:00,10:00,14,0
9483618,06:00,10:00,14,0
9483418,06:00,10:00,14,0
9483432,06:00,10:00,14,0
9483446,06:00,10:00,14,0
9483475,06:00,10:00,14,0
9483503,06:00,10:00,14,0
9483532,06:00,10:00,14,0
9483561,06:00,10:00,14,0
9483633,06:00,10:00,14,0
9483605,06:00,10:00,14,0
9483462,06:00,10:00,14,0
9483490,06:00,10:00,14,0
9483519,06:00,10:00,14,0
9483548,06:00,10:00,14,0
9483614,20:00,24:00,13,0
9483557,20:00,24:00,13,0
9483528,20:00,24:00,13,0
9483586,20:00,24:00,13,0
9483429,20:00,24:00,13,0
9483601,20:00,24:00,13,0
9483443,20:00,24:00,13,0
9483630,20:00,24:00,13,0
9483457,20:00,24:00,13,0
9483656,20:00,24:00,13,0
9483514,20:00,24:00,13,0
9483664,20:00,24:00,13,0
9483572,20:00,24:00,13,0
9483543,20:00,24:00,13,0
9483616,20:00,24:00,13,0
9483611,16:00,20:00,12,0
9483496,16:00,20:00,12,0
9483639,16:00,20:00,12,0
9483554,16:00,20:00,12,0
9483525,16:00,20:00,12,0
9483583,16:00,20:00,12,0
9483598,16:00,20:00,12,0
9483627,16:00,20:00,12,0
9483427,16:00,20:00,12,0
9483653,16:00,20:00,12,0
9483441,16:00,20:00,12,0
9483661,16:00,20:00,12,0
9483455,16:00,20:00,12,0
9483484,16:00,20:00,12,0
9483648,16:00,20:00,12,0
9483512,16:00,20:00,12,0
9483570,16:00,20:00,12,0
9483471,16:00,20:00,12,0
9483541,16:00,20:00,12,0
9483499,16:00,20:00,12,0
9483606,10:00,16:00,12,0
9483463,10:00,16:00,12,0
9483491,10:00,16:00,12,0
9483520,10:00,16:00,12,0
9483549,10:00,16:00,12,0
9483578,10:00,16:00,12,0
9483593,10:00,16:00,12,0
9483622,10:00,16:00,12,0
9483422,10:00,16:00,12,0
9483436,10:00,16:00,12,0
9483450,10:00,16:00,12,0
9483643,10:00,16:00,12,0
9483479,10:00,16:00,12,0
9483507,10:00,16:00,12,0
9483466,10:00,16:00,12,0
9483565,10:00,16:00,12,0
9483494,10:00,16:00,12,0
9483536,10:00,16:00,12,0
9483637,10:00,16:00,12,0
9483609,10:00,16:00,12,0
9483523,10:00,16:00,12,0
9483552,10:00,16:00,12,0
9483581,10:00,16:00,12,0
9483596,10:00,16:00,12,0
9483625,10:00,16:00,12,0
9483651,10:00,16:00,12,0
9483659,10:00,16:00,12,0
9483425,10:00,16:00,12,0
9483439,10:00,16:00,12,0
9483417,06:00,10:00,12,0
9483431,06:00,10:00,12,0
9483445,06:00,10:00,12,0
9483474,06:00,10:00,12,0
9483502,06:00,10:00,12,0
9483531,06:00,10:00,12,0
9483560,06:00,10:00,12,0
9483460,06:00,10:00,12,0
9483488,06:00,10:00,12,0
9483604,06:00,10:00,12,0
9483517,06:00,10:00,12,0
9483546,06:00,10:00,12,0
9483575,06:00,10:00,12,0
9483590,06:00,10:00,12,0
9483619,06:00,10:00,12,0
9483419,06:00,10:00,12,0
9483433,06:00,10:00,12,0
9483447,06:00,10:00,12,0
9483476,06:00,10:00,12,0
9483504,06:00,10:00,12,0
9483533,06:00,10:00,12,0
9483562,06:00,10:00,12,0
9483634,06:00,10:00,12,0
9483485,20:00,24:00,16,0
9483649,20:00,24:00,16,0
9483513,20:00,24:00,16,0
9483571,20:00,24:00,16,0
9483472,20:00,24:00,16,0
9483542,20:00,24:00,16,0
9483500,20:00,24:00,16,0
9483615,20:00,24:00,16,0
9483558,20:00,24:00,16,0
9483529,20:00,24:00,16,0
9483587,20:00,24:00,16,0
9483602,20:00,24:00,16,0
9483631,20:00,24:00,16,0
9483657,20:00,24:00,16,0
9483665,20:00,24:00,16,0
9483453,16:00,20:00,12,0
9483482,16:00,20:00,12,0
9483646,16:00,20:00,12,0
9483510,16:00,20:00,12,0
9483568,16:00,20:00,12,0
9483469,16:00,20:00,12,0
9483539,16:00,20:00,12,0
9483612,16:00,20:00,12,0
9483497,16:00,20:00,12,0
9483640,16:00,20:00,12,0
9483555,16:00,20:00,12,0
9483526,16:00,20:00,12,0
9483584,16:00,20:00,12,0
9483599,16:00,20:00,12,0
9483628,16:00,20:00,12,0
9483428,16:00,20:00,12,0
9483654,16:00,20:00,12,0
9483442,16:00,20:00,12,0
9483662,16:00,20:00,12,0
9483456,16:00,20:00,12,0
8975476,10:00,16:00,21,0
8975468,10:00,16:00,21,0
8975488,10:00,16:00,21,0
8975458,10:00,16:00,21,0
8975499,10:00,16:00,21,0
8975479,10:00,16:00,21,0
